"cluster","threshold","n","prop_on_edge","mean_km","sd_km","median_km","max_km","mean_km_interior","area_km2"
"north",0.975,238,0.105042016806723,7.14587157050257,4.01787081363863,6.83635529865967,16.2906858684698,7.45872853259501,1137.66865705949
"north",0.95,262,0.122137404580153,8.04491644693687,4.18154798707267,7.87389204833798,17.7208448039209,8.49546072951298,1391.52860532896
"north",0.9,268,0.138059701492537,8.66542109872506,3.99895584502154,8.44394522596899,17.9595748789727,9.0047166642254,1659.49188405785
"north",0.8,270,0.251851851851852,9.63625728681633,4.29809156247913,9.5651499707786,18.950827291075,9.8505596483225,2021.4773658495
"north",0.7,298,0.291946308724832,10.6031426369733,4.55547745007088,10.7042735749596,19.9278587379582,11.4160154645622,2270.63620396584
"north",0.6,312,0.304487179487179,11.535387682696,4.99625084680019,11.6239140696411,21.8992838269527,12.9510852936104,2519.79504208217
"north",0.5,332,0.30421686746988,12.704543379827,5.52099533460738,12.5934806602476,25.2536975789716,14.6720555047621,2754.85054973909
"south",0.975,164,0,6.2014516918617,4.72082744856235,5.29213382644845,14.9018177659435,6.2014516918617,860.303158024323
"south",0.95,178,0,7.12961282138507,5.14525376836844,6.66127510012505,16.7308124064082,7.12961282138507,1053.048674303
"south",0.9,351,0.344729344729345,19.4400997279945,13.0881903899179,17.8776536066354,39.6163013139845,11.2811628405987,2444.57727963196
"south",0.8,428,0.369158878504673,21.1475057740849,12.363348961805,22.9639291096572,39.6163013139845,14.3659933934209,3356.5926493408
"south",0.7,484,0.340909090909091,23.3032190615816,11.878278566353,27.4158568378257,39.6163013139845,18.474271941164,4127.57471445549
"south",0.6,492,0.359756097560976,25.4858406801458,12.195958085944,32.0566576428665,39.6163013139845,21.2945799860692,4743.42014451662
"south",0.5,504,0.420634920634921,28.3875808959542,13.4736422470093,34.085522941242,52.148486386474,23.7295564961384,5434.48333702796
