"cluster","threshold","distance","on_edge","criterion"
"north",0.975,5.46929145094632,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.49010677255406,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.52172758631451,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.57585589492108,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.64321836860756,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.722984657916099,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.480939741876147,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.807816813278687,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.18067860266823,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.87846309511532,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.38316480038485,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.24563401278147,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.396677291278243,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.35894691737362,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.34196541611015,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.32498391484674,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.87762604734792,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.71620907982353,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,8.58904078402676,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.4440314199199,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.952586723812725,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,1.94383913591503,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,2.93509154801739,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.92634396011969,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,4.917596372222,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,5.9088487843243,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.90010119642666,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,7.89135360852896,TRUE,"High-evidence zone (P >= 0.975)"
"north",0.975,0.201172730806258,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,3.15022822701591,FALSE,"High-evidence zone (P >= 0.975)"
"north",0.975,6.35635769450572,FALSE,"High-evidence zone (P >= 0.975)"
