"cluster","distance","mean","lo","hi"
"north",1,-0.375014782921714,-0.51153139405885,-0.242517947363717
"north",3,-0.343199578225476,-0.463210550985234,-0.226441103253895
"north",5,-0.280764473068338,-0.390025353068535,-0.172367662606073
"north",7,-0.241121139219353,-0.340144290515803,-0.14236667971495
"north",9,-0.180328116379523,-0.274378118302188,-0.0876943903314373
"north",11,-0.132386632099476,-0.236602388744344,-0.0292732896346138
"north",13,-0.0613016450719152,-0.158400659649594,0.0357689994427927
"north",15,-0.0355641832934779,-0.132173367596007,0.0610341814577182
"north",17,0.0262474844243673,-0.0673789961542054,0.118515065510162
"north",19,0.0794361780748219,-0.020514256185362,0.180080021598881
"north",21,0.100200894271618,-5.68265202192533e-05,0.199895988048694
"north",23,0.126601718171328,0.0298963185019461,0.222822235161496
"north",25,0.134549409670359,0.0388730630242252,0.229712005718643
"north",27,0.151004044427189,0.0508670964022644,0.252595086619807
"north",29,0.144364100764351,0.0472675760108903,0.244466554240758
"north",31,0.152175393836986,0.0548953317181265,0.252500385614873
"north",33,0.157779143930238,0.0619662348108882,0.255147910762052
"north",35,0.15491027040284,0.055136854340584,0.254410999362124
"north",37,0.161328298991442,0.060776867188783,0.262938325762957
"north",39,0.175712678339239,0.0792342143515705,0.273649980723934
"south",1,-0.291794150813096,-0.435424445934418,-0.151838936224574
"south",3,-0.248201544309718,-0.368081280218209,-0.128928736086951
"south",5,-0.154711072739529,-0.263661620379625,-0.0469720550247095
"south",7,-0.110361084729981,-0.217503200580787,-0.00495276136961702
"south",9,-0.0862708739683803,-0.189189027174203,0.0175598008175635
"south",11,-0.0256633957388618,-0.122882089585437,0.0734764800009593
"south",13,-0.00409505681263614,-0.0987517174459474,0.092126286680287
"south",15,5.33403948473543e-05,-0.0943993714948887,0.0955140468790345
"south",17,0.00628905464715061,-0.0868163700569063,0.101626573814377
"south",19,-0.0351571481110437,-0.131039770789308,0.0642535841698049
"south",21,-0.043275367109961,-0.136988038102282,0.0530407202315314
"south",23,-0.0452629513663325,-0.14119060260352,0.0517894260382737
"south",25,-0.0608451192265704,-0.157116640082677,0.0375783381647238
"south",27,-0.0665339933227539,-0.168603590988454,0.0352073675173996
"south",29,-0.078648701651859,-0.179558552070268,0.0215085332800647
"south",31,-0.0759699494078147,-0.175908665029479,0.0227907493666065
"south",33,-0.0411273042183917,-0.140366416442028,0.0597911870130206
"south",35,-0.0449099868643197,-0.142548649740608,0.0531009932240584
"south",37,-0.0074936329326367,-0.111124421619126,0.096047211726494
"south",39,0.0304010173090567,-0.0775217406419038,0.139063941721688
