"variant","tag","cluster","n_years","baseline_effort_km2","n","prop_on_edge","mean_km","sd_km","area_km2"
"Reference (2001-2008, all)","ref","north",6,57411.64098,252,0.0992063492063492,7.22863193529987,4.02106904781837,1137.66948003077
"Reference (2001-2008, all)","ref","south",6,57411.64098,156,0,6.10723039881696,4.65333624479372,874.407121015385
"Excluding 2003","no2003","north",5,52459.324702,234,0.106837606837607,7.07473088929535,3.88325323890414,1085.95723093846
"Excluding 2003","no2003","south",5,52459.324702,176,0,6.60896278482484,4.68178372981815,996.636073415385
"Excluding 2008","no2008","north",5,34358.944969,199,0.085427135678392,5.13816822536094,3.53088411995791,648.75367043077
"Excluding 2008","no2008","south",5,34358.944969,128,0,4.32225314684471,3.06290737237523,437.203560507692
"Excluding 2004","no2004","north",5,42005.583344,214,0.0981308411214953,5.3475791643266,3.91693950767223,672.2592382
"Excluding 2004","no2004","south",5,42005.583344,168,0,2.38191692555468,2.39913911644656,361.985743646154
"Early baseline (2001-2004)","early","north",4,30733.455792,164,0.0853658536585366,4.90767866360921,3.72115479639832,564.133626461539
"Early baseline (2001-2004)","early","south",4,30733.455792,88,0,4.06708794145471,3.34350141447067,216.251223476923
"Late baseline (2005-2008)","late","north",2,26678.185188,92,0,3.86195358430072,3.13558983187783,230.354564138462
"Late baseline (2005-2008)","late","south",2,26678.185188,193,0,4.64877979620668,3.50140737458893,850.901553246154
"High-effort years only (2004, 2008)","higheffort","north",2,38458.753647,158,0.0886075949367089,5.35138291784443,2.68029071614074,559.432512907693
"High-effort years only (2004, 2008)","higheffort","south",2,38458.753647,164,0,5.1382069350071,3.80447592958924,700.465919523077
"Reference, different seed (control)","ref_seed2","north",6,57411.64098,248,0.100806451612903,7.35512517005778,4.01215791154311,1128.26725292308
"Reference, different seed (control)","ref_seed2","south",6,57411.64098,152,0,6.22931604404877,4.76961396151141,879.108234569231
