"before","after","cluster","detected","n","mean_km","area_km2","jaccard","prop_of_ref","centroid_shift_km","prop_on_edge","before_effort_km2","after_effort_km2","tag"
"2001-2008 (all)","2017-2021 (all)","north",TRUE,252,7.22863193529987,1137.66948003077,1,1,0,0.0992063492063492,57411.64098,31770.8622689604,"full_full"
"2001-2008 (all)","2017-2021 (all)","south",TRUE,156,6.10723039881696,874.407121015385,1,1,0,0,57411.64098,31770.8622689604,"full_full"
"2001-2008 (all)","no 2018","north",TRUE,305,7.40944660016022,1137.66948003077,0.826415094339623,0.90495867768595,1.57492989544066,0.0688524590163934,57411.64098,20025.4446816171,"full_no2018"
"2001-2008 (all)","no 2018","south",TRUE,240,8.91486245023783,629.949216215385,0.385281385281385,0.478494623655914,8.77174644417665,0,57411.64098,20025.4446816171,"full_no2018"
"2001-2008 (all)","2019-2021 only","north",TRUE,170,5.6268185718104,517.122490923077,0.430894308943089,0.43801652892562,11.0391080731302,0.0411764705882353,57411.64098,10539.5316507371,"full_last3"
"2001-2008 (all)","2019-2021 only","south",TRUE,38,2.80655904246494,51.7122490923077,0.0591397849462366,0.0591397849462366,10.9842190829194,0,57411.64098,10539.5316507371,"full_last3"
"no 2008","2017-2021 (all)","north",TRUE,199,5.15772972789182,653.454783984616,0.574380165289256,0.574380165289256,1.24196225925198,0.085427135678392,34358.944969,31770.8622689604,"no2008_full"
"no 2008","2017-2021 (all)","south",TRUE,128,4.32225314684471,437.203560507692,0.5,0.5,1.51447300985081,0,34358.944969,31770.8622689604,"no2008_full"
"no 2008","no 2018","north",TRUE,142,4.43911490115893,521.823604476923,0.458677685950413,0.458677685950413,5.6642394828268,0.0704225352112676,34358.944969,20025.4446816171,"no2008_no2018"
"no 2008","no 2018","south",TRUE,60,2.89927199013495,94.0222710769231,0.10752688172043,0.10752688172043,9.74278301469901,0,34358.944969,20025.4446816171,"no2008_no2018"
"no 2008","2019-2021 only","north",TRUE,46,1.58985096662596,65.8155897538462,0.0578512396694215,0.0578512396694215,2.65124088817603,0,34358.944969,10539.5316507371,"no2008_last3"
"no 2008","2019-2021 only","south",FALSE,NA,NA,0,0,0,NA,NA,34358.944969,10539.5316507371,"no2008_last3"
"2005-2008 only","2017-2021 (all)","north",TRUE,92,3.91473245370029,235.055677692308,0.206611570247934,0.206611570247934,12.9171708699792,0,26678.185188,31770.8622689604,"late_full"
"2005-2008 only","2017-2021 (all)","south",TRUE,193,4.64877979620668,850.901553246154,0.764423076923077,0.854838709677419,3.31201732114387,0,26678.185188,31770.8622689604,"late_full"
"2005-2008 only","no 2018","north",TRUE,50,2.67803378206749,117.527838846154,0.103305785123967,0.103305785123967,2.03607562806278,0,26678.185188,20025.4446816171,"late_no2018"
"2005-2008 only","no 2018","south",TRUE,182,3.14560959262689,385.491311415385,0.34,0.365591397849462,6.79420127526023,0,26678.185188,20025.4446816171,"late_no2018"
"2005-2008 only","2019-2021 only","north",TRUE,60,6.23415177705769,122.2289524,0.072,0.0743801652892562,32.8179835000796,0,26678.185188,10539.5316507371,"late_last3"
"2005-2008 only","2019-2021 only","south",TRUE,20,0.547313356066044,14.1033406615385,0.0161290322580645,0.0161290322580645,2.297964794246,0,26678.185188,10539.5316507371,"late_last3"
