"cluster","n","mean_km","prop_on_edge","area_km2","effort_frac","replicate","effort_km2","n_rows"
"north",234,5.78120090485994,0.0897435897435897,785.085963492308,0.914,1,52384.6664080744,857
"south",177,5.32786782318759,0,761.580395723077,0.914,1,52384.6664080744,857
"north",238,6.6900389570109,0.0966386554621849,1020.14164118462,0.914,2,52448.7751550063,872
"south",162,4.81358937375553,0,653.454783984616,0.914,2,52448.7751550063,872
"north",238,6.7112364881549,0.0966386554621849,1015.44052763077,0.914,3,52461.3292544429,848
"south",160,6.16560891221636,0,865.004893907693,0.914,3,52461.3292544429,848
"north",250,6.82089482380375,0.092,1001.33718696923,0.914,4,52374.1976623696,870
"south",166,5.0509957573515,0,733.3737144,0.914,4,52374.1976623696,870
"north",264,7.01780250059461,0.0871212121212121,963.728278538462,0.914,5,52411.4101770518,865
"south",152,6.10325155236645,0,860.303780353846,0.914,5,52411.4101770518,865
"north",140,5.80626529266452,0.121428571428571,493.616923153846,0.732,1,41942.0311856579,706
"south",142,3.8442512256366,0,498.318036707692,0.732,1,41942.0311856579,706
"north",186,5.24905881841137,0.0913978494623656,601.742534892308,0.732,2,42018.144486053,707
"south",169,3.47348563789369,0,456.008014723077,0.732,2,42018.144486053,707
"north",248,6.39294021375818,0.100806451612903,996.636073415385,0.732,3,41989.1873555309,679
"south",156,4.18791929468936,0,498.318036707692,0.732,3,41989.1873555309,679
"north",184,5.0941885733414,0.0978260869565217,676.960351753846,0.732,4,41939.5718900606,696
"south",169,3.71989686925899,0,498.318036707692,0.732,4,41939.5718900606,696
"north",192,6.30646956144339,0.109375,625.248102661539,0.732,5,42002.7479780743,706
"south",154,4.55741888461127,0,521.823604476923,0.732,5,42002.7479780743,706
"north",140,5.94625221360854,0.128571428571429,503.019150261539,0.67,1,38367.6404884988,648
"south",155,5.08495728606725,0,550.0302858,0.67,1,38367.6404884988,648
"north",134,5.26888870707916,0.156716417910448,479.513582492308,0.67,2,38445.5073230527,623
"south",135,1.96401452432403,0,235.055677692308,0.67,2,38445.5073230527,623
"north",166,4.47576643418974,0.108433734939759,531.225831584616,0.67,3,38400.7376205589,667
"south",172,4.20892895623966,0,535.926945138462,0.67,3,38400.7376205589,667
"north",228,5.34560460113273,0.0614035087719298,676.960351753846,0.67,4,38376.1218013388,644
"south",165,3.76508184621071,0,535.926945138462,0.67,4,38376.1218013388,644
"north",186,5.69524552803056,0.0913978494623656,606.443648446154,0.67,5,38430.4417674687,641
"south",120,2.69553201500156,0,404.295765630769,0.67,5,38430.4417674687,641
"north",76,4.45942423962762,0,225.653450584615,0.598,1,34206.551881919,575
"south",142,2.11597929987185,0,244.4579048,0.598,1,34206.551881919,575
"north",102,4.51686128957943,0.0686274509803922,305.572381,0.598,2,34240.9844168446,553
"south",144,2.29260516896825,0,357.284630092308,0.598,2,34240.9844168446,553
"north",64,4.05425580816308,0,197.446769261539,0.598,3,34084.2720392268,566
"south",130,2.01831977290514,0,202.147882815385,0.598,3,34084.2720392268,566
"north",138,4.86173982089962,0.0507246376811594,404.295765630769,0.598,4,34236.5500011978,568
"south",123,2.31240722824535,0,211.550109923077,0.598,4,34236.5500011978,568
"north",68,4.57617449543441,0,192.745655707692,0.598,5,34257.9432814705,555
"south",104,2.37766029560667,0,188.044542153846,0.598,5,34257.9432814705,555
"north",89,4.44874428102708,0,272.664586123077,0.535,1,30688.6270696858,532
"south",84,2.65597079068429,0,164.538974384615,0.535,1,30688.6270696858,532
"north",86,4.77868407032765,0.0813953488372093,282.066813230769,0.535,2,30592.0823464132,501
"south",24,0.458336055889656,0,18.8044542153846,0.535,2,30592.0823464132,501
"north",136,4.73213431522154,0.102941176470588,441.904674061539,0.535,3,30699.0955119315,503
"south",112,1.27214552569881,0,164.538974384615,0.535,3,30699.0955119315,503
"north",66,4.05386385563917,0,164.538974384615,0.535,4,30694.5633032409,522
"north",150,4.89653148122692,0.0466666666666667,488.9158096,0.535,5,30556.813507577,528
"south",62,2.55640669125504,0,150.435633723077,0.535,5,30556.813507577,528
"north",50,2.84518326001308,0,126.930065953846,0.465,1,26623.8591942657,435
"south",82,2.5602841175126,0,131.631179507692,0.465,1,26623.8591942657,435
"north",72,3.84682545340971,0,178.642315046154,0.465,2,26627.9175820099,409
"south",114,2.7038816732038,0,202.147882815385,0.465,2,26627.9175820099,409
"north",78,4.11220062437487,0.153846153846154,249.159018353846,0.465,3,26640.4807910059,464
"south",133,1.75211148205702,0,202.147882815385,0.465,3,26640.4807910059,464
"north",78,4.01407662784277,0.0384615384615385,230.354564138462,0.465,4,26696.2357152024,446
"north",110,3.08112359415184,0,206.848996369231,0.465,5,26640.8890678281,473
